ID,lead_paragraph,section_name,word_count,myDate
564a905938f0d83ab2f5a473,The attack has revived vitriolic arguments between American intelligence officials and Silicon Valley over whether the government should be given the keys to decode “end-to-end” encryption technology.,World,1210,2015/11/17
548ba7e638f0d8482929b564,"An innovative design by Francesco De Virgilio, introduced more than 60 years ago, is the basis for many modern 6-cylinder engines.",Automobiles,1126,2014/12/14
53add93638f0d82b75d9b010,"Clear Channel has gained a significant audience with its streaming app, which works on smartphones and on some connected cars.",Automobiles,405,2014/06/29
520e8f6738f0d8740ac8c00b,"While CB radio has not disappeared, truckers are now often connected to the Web with smartphone and tablet apps that provide diversions and lend a helping hand.",Automobiles,1015,2013/08/18
53f7987f38f0d835538dc001,"Buyers now expect their cars to have the capabilities of their smartphones, so automakers have complied. To gauge the systems, we spent time with five cars from automakers in the forefront of telematics.",Automobiles,2337,2012/06/10
51c201167e0d9c0839d2a039,"New materials, assembly processes and electronic controls make automobile repair work more challenging. So how will schools train new technicians? Video game technology may provide part of the answer.",Automobiles,714,2012/05/20
54a3e17a38f0d80267d29f28,A new breed of mechanics has begun hacking into car computers. Yesterday’s grease monkeys have morphed into automotive computer geeks.,Automobiles,837,2006/10/25
5388fc4138f0d8242c01f10f,"Telenav, a navigation services company, is switching from maps that are professionally produced to ones that are crowdsourced, using data and updates provided by contributors.",Automobiles,754,2014/06/01
527d55d438f0d84149748c89,"With the help of computer modeling and mechanical gadgetry, automakers are tailoring exhaust notes to more precisely define the character of new models.",Automobiles,674,2013/11/10
51a22bb440e9ec0a56fe2d88,"The Porsche 918 Spyder, an $846,000 gasoline-electric hybrid supercar with all-wheel drive and 4-wheel steering, is what can happen when management lets its white-coated engineers run loose.",Automobiles,737,2013/05/26
53f8559038f0d835538dc9c8,"Everybody complains about the traffic, but no one does anything about it. That may finally be changing as new technology to track cars becomes more widely used.",Automobiles,1310,2012/07/01
53f7215e38f0d821a37b2b42,"Automakers are fighting an undeclared, escalating war over in-dash apps, worrying regulators about even more distracted driving.",Automobiles,1273,2012/05/27
544566b638f0d832c813eb8c,The newest telematics technologies can communicate with smartphones and coordinate entertainment and communications.,Automobiles,1287,2010/04/25
548d15fd38f0d80cddfa01c1,"Blasting music in a car is one of the joys of summer driving. So if two channels of music are great, wouldn’t more channels sound even better?",Automobiles,1084,2007/07/29
526ad77738f0d8384ec1ef90,"Autonomous cars have been arriving in bits and pieces for years. Bristling with sensors and microprocessors, cars have been lightening the driver’s workload and improving safety, and more bits of self-driving technology are arriving with 2014 models.",Automobiles,1312,2013/10/27
511ec58ecf28d009de0000e7,"With its Real Directions feature, some Garmin GPS units now give directions using landmarks, saying, for example, to turn left at the Starbucks.",Automobiles,211,2013/02/17
50fa53dd00315214fbb85d7b,The 450-horsepower LT1 engine under the hood of the 2014 Corvette could be considered the latest update of a classic — the 58-year-old small-block Chevy V-8.,Automobiles,1105,2013/01/20
5417db5538f0d851fd3a88f8,"Formula One racing teams have taken advantage of sophisticated information-delivery technologies to transfer data from cars on the track to monitors
halfway around the world.",Automobiles,884,2010/06/27
5442ff2f38f0d8246e88c990,Electronics companies think they can make in-car television work with new broadcasts that are designed specifically for viewers on the move.,Automobiles,1115,2010/02/21
545aa06638f0d842c59d16cb,There is renewed interest among automotive engineers in developing two-stroke engines as a possible solution to meeting future mileage standards.,Automobiles,1142,2009/12/20
54869f2838f0d8164e21e525,"Advocates say every car, not just those owned by individuals convicted of drunken driving, could be equipped with an interlock to test for alcohol.",Automobiles,1092,2007/10/21
5490755f38f0d847ca7e1ce7,"Analog annoyance may soon fade away as broadcasters, carmakers and electronics companies enter the digital era.",Automobiles,1055,2007/03/25
54ae46ea38f0d817e02e75d5,Digital mapping companies are rushing to keep up with road construction projects and new subdivisions popping up in what were cornfields only yesterday.,Automobiles,1200,2006/07/09
4fd220ce8eb7c8105d7a44bc,"The Intel Corporation tightened its revenue forecast for the third quarter today, pushing it just below the midpoint of the range of $6.3 billion to $6.9 billion it gave in July. The revision means revenue will be largely in line with analysts' current expectations.",Business,260,2002/09/06
4fd27f558eb7c8105d84910b,"Warren E. Buffett made his first move into the technology sector yesterday as he and two other investors bought $500 million of bonds issued by Level 3 Communications, the money-losing fiber optic cable company. The deal is a watershed for Mr. Buffett, one of the most influential investors, who has avoided technology and communications investments -- even when they were hot -- despite occasional pleas from shareholders of his company, Berkshire Hathaway.",Business,428,2002/07/09
4fd217158eb7c8105d792078,"The troubles at Excite@Home worsened today after an investment firm that arranged emergency financing for the company last spring demanded a $50 million payment by the end of the week. The news pushed shares of Excite @Home down 11 cents, to 39 cents.",Business,368,2001/08/28
5155fdaffdc59278db000dba,"The 2014 Acura RLX, on display at the New York auto show, has a feature that Acura calls Precision All-Wheel Steer, which is intended to improve handling by adding steering capability to the rear wheels.",Automobiles,657,2013/03/31
514cd113fdc5926e77001c7e,"The Audiovox Car Connection kit, which went on sale at the end of last year, tracks the car and monitors the driver.",Automobiles,367,2013/03/24
5456459738f0d84a08fb33fa,"Navigation provided by smartphones can be unreliable, because when the cellphone signal disappears, so do the directions.",Automobiles,1048,2009/09/20
545bbf6638f0d85e5ee911fa,"Three decades ago, General Motors developed a prototype powertrain under the hood of a Cadillac Eldorado.",Automobiles,1484,2009/01/04
4fd283aa8eb7c8105d8524bc,"MCI Inc., the long-distance carrier that has agreed to be sold to Verizon Communications, posted a small loss in the first quarter as it made deep cost cuts to offset steep declines in revenue. The company, based in Ashburn, Va., said yesterday that it lost $2 million, or 1 cent a share, in the first quarter after losing $388 million, or $1.19 a share, a year earlier. Revenue fell 12 percent, to $4.8 billion.",Technology; Business,351,2005/05/06
4fd24abc8eb7c8105d7e8cfd,"Microsoft says it has filed eight lawsuits in seven states against software resellers and system builders, accusing them of distributing counterfeit and unlicensed computer programs. The federal lawsuits stem from a test purchase program begun in 1997, the company said yesterday. Under that program, Microsoft said, it bought software and computer systems to test their authenticity.",Business,239,2005/04/12
4fd2a5e28eb7c8105d88de1d,"Microsoft and Time Warner have waived their right to a hearing in the continuing European Commission investigation into their plan to take over ContentGuard, which makes software for digital rights management, a person involved in the case said Thursday. The move is seen as a sign of confidence that the regulator will approve the deal, said the person, who spoke on condition of anonymity.",Technology; Business,180,2005/03/11
4fd25ae68eb7c8105d8078b1,"The Fair Trade Commission in Japan ruled on Tuesday that the Intel Corporation violated the country's antimonopoly law in the way it sold semiconductors and ordered the company to stop some of its sales practices. Intel took issue with the finding and said it was considering how to respond. The commission said Intel used unfair business practices to persuade five Japanese personal computer makers, including Sony and Toshiba, to stop or limit their purchases of microprocessors from two Intel rivals, Advanced Micro Devices and the Transmeta Corporation. The action against Intel came 11 months after the commission began its investigation with a raid on the company's Japanese offices. Fair trade authorities said that since May 2002, Intel offered discounts and incentives to computer makers that were contingent on promises that those companies either cease, or strictly limit, purchases from other chip makers. Intel said in a statement that it regarded its practices as fair and lawful. The company has 10 days to decide whether to appeal. If it does, the case would go through the commission's judicial review process. ''There is a broad consensus that competition regulators should only intervene where there is evidence of harm to consumers,'' D. Bruce Sewell, Intel's vice president and general counsel, said in the statement. ''It is apparent the J.F.T.C.'s recommendation did not sufficiently weigh these important principles.'' The ruling, which does not carry a fine, was the second action by Japanese competition regulators against a major American high-technology company in the last year. In July, the commission ordered Microsoft to remove a clause in its licensing contracts that was intended to protect it from patent suits. Intel has about 90 percent of the Japanese market for microprocessors, with the remainder split between Advanced Micro and Transmeta. That compares with an 80 percent market share for Intel worldwide. In the ruling, regulators did not ask Intel to stop offering volume discounts or other incentives to computer makers, but it did order the company to stop tying those discounts to promises to stop buying rival brands. In one case, Intel forced a computer maker to buy all of its semiconductors from Intel or lose rebates that had been offered, the commission said without identifying the manufacturer. Regulators argued that Intel's sales methods were unfair because the stipulations virtually assured that computer companies would severely limit purchases from rivals. Intel's brand power with consumers and its overwhelming market share in Japan mean computer makers have little choice but to buy a large number of their chips from Intel, and losing the discounts on those purchases would be costly, they said. The commission determined that Intel's practice limited competition and thus was likely to drive up the cost of computers for consumers, said Hiroshi Yamada, a commission official who briefed reporters on the decision. ''The company urged the five computer makers not to buy products from rivals in order to raise its own market share,'' Mr. Yamada said. The combined Japanese market share of A.M.D. and Transmeta dropped by more than half from 24 percent in 2002 to 11 percent in 2003, the commission said. Intel accounted for the remainder of the market, so its share rose to 89 percent from 76 percent in the period. A.M.D. has cited Intel's sales practices for its dwindling market share in Japan and applauded the ruling. ''It's a clear determination by the F.T.C. that Intel has been abusing a dominant position to limit competition,'' Thomas M. McCoy, executive vice president for legal affairs at A.M.D., said in an interview here.",Technology; Business,591,2005/03/09
4fd2a5df8eb7c8105d88dab4,"Bill Gates said on Tuesday that Microsoft planned to introduce this summer a new version of its Internet Explorer Web browser with stronger features to protect against viruses and other vexing security flaws that have plagued Windows users. In a speech at the RSA computer security conference, Mr. Gates, Microsoft's chairman, said the company was making progress in its fight against spam, adding that ''phishing'' software scams were the fastest-growing security problem the company faced. He said the company was currently spending about $2 billion a year on computer security development and research.",Technology; Business,469,2005/02/16
4fd283998eb7c8105d8518fb,"I.B.M.'s plan to sell its personal computer business to Lenovo of China hit a political speed bump yesterday.The chairmen of three House committees urged the Bush administration to conduct a formal investigation of the deal to determine whether it poses a risk to national security. In a letter to Treasury Secretary John W. Snow, the Republican committee leaders said they were concerned that the deal could give advanced technology to the Chinese government, and would leave a company controlled by China responsible for handling some United States government contracts.",Technology; Business,654,2005/01/27
4fd2443b8eb7c8105d7de3bc,"Carl Vogel has resigned as president and chief executive of the cable company Charter Communications in the wake of big losses in 2004 and its struggles with over $18 billion in debt. Mr. Vogel also gave up his seat on the board. The posts of president and chief executive will be filled temporarily by Robert P. May, a Charter director who is chairman of HealthSouth, Charter said.",Business,110,2005/01/19
