ID,lead_paragraph,section_name,word_count,myDate
55e45ce538f0d84c14715f74,"In this excerpt from Travel Channel’s new show, 36 Hours with The New York Times, Times’ writer Ceylan Yeginsu takes hosts Kristen and Kyle across the Bosphorus river to explore Istanbul’s Asia.",Travel,32,2015/08/31
504a79b21c22dfde670bd2b1,"A teaser for the Travel Channel series ""Insane Coaster Wars.""",Arts,10,2012/07/06
5616dfb938f0d8690d4b9ff0,"Inside the recently reopened Lanesborough, where history and craftsmanship are on plain view.",T Magazine,451,2015/10/08
5602d93638f0d84a40af5044,"Sleepy Jones launched pajamas, cash and good vibes into the summer air.",T Magazine,125,2015/09/23
5600764538f0d813baf6c0e4,"The slow-paced villages that make up Salento boast a stunning landscape, deep-blue seas, centuries of history — and are blissfully isolated from the 21st century.",T Magazine,2002,2015/09/20
55dcc58138f0d8657895e92f,"The designer recommends things to do, eat and see near his home in Monterey, Mass.",T Magazine,1711,2015/08/25
54b0d9eb38f0d8367c842754,"With new concerns about carry-on baggage, it has gotten tougher to be a classical musician.",Arts,925,2006/08/15
5485960038f0d84e18de0d1c,"As iconic golf images go, Tiger Woods’ fist pump at the 1997 Masters and Ben Hogan’s 1-iron pose at the 1950 U.S. Open top the list. Not far behind is Bernhard Langer’s agonized grimace at the 1991 Ryder Cup. Germany’s best player ever had just watched his six-foot par putt slide past the cup on the final hole, handing victory to the United States in a match so contentious, on a seaside golf course so demanding, observers dubbed it, “The War by the Shore.”.",Sports,213,2007/09/27
55e9907038f0d82b9387d7b5,Gone are the days when Downtonesque grandeur was the only option for a stay in the English countryside.,T Magazine,549,2015/09/04
55e4954738f0d8547fb33f27,A hotel housed in a 19th-century building toes the line between classic and modern.,T Magazine,111,2015/08/31
563a7fc738f0d8307b5dcfaf,"For his new shows, the artist braved the elements to capture otherworldly outdoor portraits. He shares images from the series, as well as his favorite haunts in the area.",T Magazine,396,2015/11/04
